title,rating,stars
双探,3.8分,"段奕宏,大鹏,曾美慧孜,郑楚一,张国强,邢佳栋,刘威葳,刘亦然,申琦,张林,衣云鹤,冯兵,董博,朱梓瑜,程禹森,魏震,李乃文,陈明昊,高峰,周铁,朱辉,赵芮"
逆局,2.8分,"周渝民,张榕容,吴兴国,李铭顺,朱轩洋,曾敬骅,纪培慧,马念先"
决胜法庭,4.6分,"于和伟,张佳宁,韩栋,王耀庆,连奕名,胡静,杜源,王艺禅,王全有"
我的极品老婆第二季,2.0分,张小帅
无罪推定,3.0分,梁汉文 王敏奕 张慧仪 董敏莉 陈俞希 陈子丰 罗沛琪 强尼 李焯宁 李昭南 楼南光 余逸思 杨英伟 张满源 雷琛瑜
录像带,3.0分,"赵子琪,李勤勤,廖凡,傅晶,朱铁,张涵予"
刁蛮俏御医,2.0分,"张娜拉,高昊,唐宸禹,郭珍霓,蔡蝶"
你是我的一片天,1.0分,王晶 杨童舒 宋运成
骊歌行粤语版,1.0分,"李一桐,许凯,吴佳怡,檀健次,洪尧,何奉天,李泽锋,王一哲,张楠,何瑞贤,马跃,苗圃,刘敏"
我的恋人有点迷,4.0分,"曹斐然,方晓东,张举举,张奇但雅"
脸谱,4.0分,"邢岷山,陶慧敏,王玉璋,马昌钰"
铁血军歌,3.0分,"陈键锋,陶昕然,丁志城,尤勇智,宋允皓,鲁冠廷,李梅可,闫霖飞,马艺家,郭军"
走到尽头,4.0分,张海于小磊赵刚
宫锁心玉,2.0分,杨幂 / 冯绍峰 / 佟丽娅 / 何晟铭 / 郭羡妮
终极使命冯远征版,3.0分,"于晓光,刘晓洁,谢孟伟,胡洋,王新,周楚濋"
庄户人是天,5.0分,"田成仁,范艳华"
庄户人是天,1.0分,"田成仁,范艳华"
我在古代当萌探,3.0分,杨馥羽 / 贾浩渊 / 马小钦
慕南枝,1.0分,鞠婧祎、曾舜晞、汪卓成、王奕婷
四十九日·祭未删减版,5.0分,"张嘉译,宋佳,胡歌,黄志忠,张歆怡"
悬崖,3.2分,"张嘉译,宋佳,程煜,李洪涛"
爱的厘米,3.6分,"佟丽娅,佟大为,许娣,韩童生,檀健次,郑合惠子,左小青,涂松岩,胡可,任正斌,姜妍,盖克"
代号·山豹,5.0分,邢佳栋、屈玥、杨念生、钱波、薛皓文、高冬平、于小磊、曾淇
龙岭迷窟,3.6分,"潘粤明,张雨绮,姜超,高伟光,周晓鸥,佟磊,王奎荣,胡明,高雄,左右"
传闻中的陈芊芊,4.4分,"赵露思,丁禹兮,盛英豪,周紫馨,权沛伦,陈名豪"
将军家的小狐仙,3.6分,内详
大明风华,3.9分,"汤唯,朱亚文,邓家佳,乔振宇,王学圻,张艺兴,俞灏明,吴越,梁冠华,栾元晖,李昕亮,苏可,师悦玲,孙耀琦,赵韩樱子,唐鉴军,孙骁骁,隆妮"
三十而已,3.6分,"江疏影,童瑶,杨玏,毛晓彤,李泽锋,王自健"
花府小姐要出逃,2.1分,董岩磊
天道,4.0分,王志文/左小青/曾红生/赵会南/施大生/姚金飞/
你是我的荣耀,4.2分,"迪丽热巴,杨洋,潘粤明,胡可,王彦霖,郑合惠子,金晨,吴倩,高露,涂松岩,季肖冰,孙雅丽"
天龙八部2021,3.4分,"杨祐宁,文咏珊,白澍,张天阳,苏青,何泓姗,高泰宇,邱心志,刘玉翠,黄奕,朱珠,马雅舒,刘美彤,孙雅丽,杜厚佳,曾一萱,孟丽,于荣光,韩成才,苗皓钧,朱晓渔,沈晓"
将军家的小狐仙,3.6分,内详
花府小姐要出逃,2.1分,董岩磊
爱的厘米,3.6分,"佟丽娅,佟大为,许娣,韩童生,檀健次,郑合惠子,左小青,涂松岩,胡可,任正斌,姜妍,盖克"
天道,4.0分,王志文/左小青/曾红生/赵会南/施大生/姚金飞/
传闻中的陈芊芊,4.4分,"赵露思,丁禹兮,盛英豪,周紫馨,权沛伦,陈名豪"
天龙八部2021,3.4分,"杨祐宁,文咏珊,白澍,张天阳,苏青,何泓姗,高泰宇,邱心志,刘玉翠,黄奕,朱珠,马雅舒,刘美彤,孙雅丽,杜厚佳,曾一萱,孟丽,于荣光,韩成才,苗皓钧,朱晓渔,沈晓"
你是我的荣耀,4.2分,"迪丽热巴,杨洋,潘粤明,胡可,王彦霖,郑合惠子,金晨,吴倩,高露,涂松岩,季肖冰,孙雅丽"
理想之城,3.8分,"孙俪,赵又廷,于和伟,陈明昊,高叶,李传缨,张澍,李洪涛,赵君,钱漪,刘泊潇,杨超越,刘奕畅,任重,张天阳,代旭,张瑶,田昊,傅首尔"
周生如故,4.0分,"任嘉伦,白鹿,王星越,李宜儒,姚奕辰,周陆啦,苏梦芸,吴曼思,刘威葳,梁爱琪,傅隽,于洋,原若航,张诚航"
悬崖,3.2分,"张嘉译,宋佳,程煜,李洪涛"
士兵突击,3.8分,"王宝强,陈思诚,段奕宏,张译"
将夜2,3.7分,"王鹤棣,宋伊人,袁冰妍,郑少秋,杨超越,孙祖君,陈震,郭品超,康可人,胡宇轩,保剑锋,练束梅,王劲松,成泰燊,尹铸胜,张双利,余皑磊,艾丽娅"
理想之城,3.8分,"孙俪,赵又廷,于和伟,陈明昊,高叶,李传缨,张澍,李洪涛,赵君,钱漪,刘泊潇,杨超越,刘奕畅,任重,张天阳,代旭,张瑶,田昊,傅首尔"
周生如故,4.0分,"任嘉伦,白鹿,王星越,李宜儒,姚奕辰,周陆啦,苏梦芸,吴曼思,刘威葳,梁爱琪,傅隽,于洋,原若航,张诚航"
香蜜沉沉烬如霜,4.2分,"杨紫,邓伦,陈钰琪,罗云熙"
且听凤鸣,4.2分,"杨超越,徐开骋,傅菁,陈意涵,王皓轩,郭丞,高基才"
风筝,3.9分,柳云龙  罗海琼  李小冉  齐欢
芈月传,3.5分,"孙俪,刘涛,方中信,黄轩"
